RBD/COD JUNJI;DV;Establecimiento;Comuna;Dirección;LAT;LONG;Primer Día de Recuperación;Días de Recuperación ;Observación;;
13119003;35630;PEQUEÑOS EXPLORADORES;MAIPÚ;Av. La Galaxia  #1000;-33,52008207;-70,79453888;;;;;
13119004;35632;DIVINA PROVIDENCIA;MAIPÚ;San José  #3041;-33,5173379;-70,79749263;;;;;
13119010;35634;EMANUEL;MAIPÚ;Av. Cuatro Poniente #1230;-33,51850649;-70,7916241;;;;;
13119017;35637;BLANCO ENCALADA;MAIPÚ;Etna  #330;-33,49728691;-70,76757782;;;;;
13119018;35638;VICENTE REYES;MAIPÚ;Vicente Reyes #1081;-33,51624455;-70,75103412;;;;;
13119019;35639;PEHUÉN ;MAIPÚ;Av. Sur  #2860;-33,52227008;-70,79515346;;;;;
13119020;35640;PALLAMAR;MAIPÚ;Pozo Almonte  #1484;-33,51349228;-70,74594951;;;;;
13119021;35641;SAN JUAN;MAIPÚ;Jorge Guerra #321;-33,54023772;-70,77043183;;;;;
13119022;35642;PINCELES Y COLORES;MAIPÚ;Av. Tres Poniente #2400;-33,50682276;-70,77966006;;;;;
13119023;35643;NUEVO MUNDO;MAIPÚ;Av. El Descanso  #1540;-33,46968978;-70,75812819;;;;;
13119024;35644;ANKATU;MAIPÚ;Av. El Conquistador  #1451;-33,51813944;-70,7966174;;;;;
13119025;35646;KIM RUKA;MAIPÚ;La Galaxia #255;-33,52537898;-70,79403782;;;;;
13119026;35647;LAS ABEJITAS;MAIPÚ;Octavio Paz #2811;-33,50115966;-70,79497559;;;;;
13119027;35648;CASCANUECES;MAIPÚ;Av. Marta Ossa Ruíz #1060;-33,46588737;-70,75252056;;;;;
13119028;35649;PEQUEÑAS MARAVILLAS;MAIPÚ;Collanco #1260;-33,4916841;-70,76865606;;;;;
13119029;35650;AITUÉ;MAIPÚ;Mujeres Chilenas  #2746;-33,50380373;-70,79330909;;;;;
13119030;35651;SEMILLITAS;MAIPÚ;Canadá  #3440;-33,49703383;-70,73840265;;;;;
13119031;35652;MOLINO DE COLORES;MAIPÚ;Gustavo Eiffel #5171;-33,47318398;-70,75018499;;;;;
13119032;35653;SINFONÍA MÁGICA;MAIPÚ;Av. La Sinfonía #1000;-33,4893717;-70,76397148;;;;;
13119033;35654;LOS SOLCITOS;MAIPÚ;Valle de los Reyes #127;-33,52705621;-70,79823116;;;;;
13119034;35655;ALTAWEÑI;MAIPÚ;La Farfana #2070;-33,48775614;-70,77880099;;;;;
13119035;35656;RAYEN MAPU;MAIPÚ;Santa Priscila #3101;-33,49891635;-70,78189683;;;;;
13119036;35657;ALON KURA;MAIPÚ;Lumen #3737;-33,49351041;-70,73582718;;;;;
13119040;35660;VALLE VERDE;MAIPÚ;Alaska #7780;-33,49032721;-70,73281018;;;;;
13119042;35661;ESDRAS;MAIPÚ;Esdras #60;-33,54529624;-70,7815325;;;;;
13119043;35663;EL TRANQUE;MAIPÚ;El Tranque #201;-33,54906025;-70,7941053;;;;;
